시점,행정구역(시도)별,행정구역(기초)별,성별,연령별,노인인구수,치매환자수,치매환자유병률,최경도 환자,경도 환자,중등도 환자,중증 환자,알츠하이머 환자수,알츠하이머 환자유병률,혈관성치매 환자수,혈관성치매 환자유병률,기타 환자환자수,기타 환자유병률,경도인지장애 환자수,경도인지장애 환자유병률
2020,전국,전국,전체,60~64세,3804709.5,23350.26,0.61,4062.95,9667.01,6001.02,3619.29,0,0,23350.26,0.61,0,0,568975.71,14.95
2020,전국,전국,전체,65~69세,2635592,36620.52,1.39,6371.97,15160.9,9411.47,5676.18,34204.14,1.3,0,0,2416.38,0.09,472079.05,17.91
2020,전국,전국,전체,70~74세,2000708.5,77236.58,3.86,13439.16,31975.94,19849.8,11971.67,74101.52,3.7,1868.56,0.09,1279.71,0.06,432263.1,21.61
2020,전국,전국,전체,75~79세,1602662.5,189626.57,11.83,32995.02,78505.4,48734.03,29392.12,79081.82,4.93,36835.05,2.3,73617.65,4.59,238681.35,14.89
2020,전국,전국,전체,80~84세,1110911.5,232892.5,20.96,40523.3,96417.5,59853.37,36098.34,182257.11,16.41,8518.04,0.77,42047.6,3.78,530714.37,47.77
2020,전국,전국,전체,85세이상,784800,303815.65,38.71,52863.92,125779.68,78080.62,47091.43,264750.04,33.73,25376.03,3.23,13632.54,1.74,175257.32,22.33
2020,전국,전국,전체,60세이상,11939384,863542.09,7.23,150256.32,357506.43,221930.32,133849.02,634394.63,5.31,95947.94,0.8,132993.88,1.11,2417970.9,20.25
2020,전국,전국,전체,65세이상,8134674.5,840191.82,10.33,146193.38,347839.41,215929.3,130229.73,634394.63,7.8,72597.68,0.89,132993.88,1.63,1848995.19,22.73
2020,전국,전국,남,60~64세,1878929.5,21231.9,1.13,3694.35,8790.01,5456.6,3290.94,0,0,21231.9,1.13,0,0,484476.33,25.78
2020,전국,전국,남,65~69세,1271779.5,23527.92,1.85,4093.86,9740.56,6046.68,3646.83,21111.54,1.66,0,0,2416.38,0.19,120302.71,9.46
2020,전국,전국,남,70~74세,934279.5,43537.42,4.66,7575.51,18024.49,11189.12,6748.3,41575.44,4.45,1868.56,0.2,0,0,234788.18,25.13
2020,전국,전국,남,75~79세,682114.5,62959.17,9.23,10954.9,26065.1,16180.51,9758.67,20258.8,2.97,29194.5,4.28,13505.87,1.98,46674.37,6.84
2020,전국,전국,남,80~84세,413379.5,70646.56,17.09,12292.5,29247.68,18156.17,10950.22,35426.62,8.57,6076.68,1.47,29143.25,7.05,209443.68,50.67
2020,전국,전국,남,85세이상,214401,115755.1,53.99,20141.39,47922.61,29749.06,17942.04,103384.16,48.22,12370.94,5.77,0,0,42632.14,19.88
2020,전국,전국,남,60세이상,5394883.5,337658.07,6.26,58752.5,139790.44,86778.12,52337,221756.56,4.11,70742.58,1.31,45065.5,0.84,1138317.41,21.1
2020,전국,전국,남,65세이상,3515954,316426.17,9,55058.15,131000.43,81321.53,49046.06,221756.56,6.31,49510.68,1.41,45065.5,1.28,653841.07,18.6
2020,전국,전국,여,60~64세,1925780,2118.36,0.11,368.59,877,544.42,328.35,0,0,2118.36,0.11,0,0,84499.37,4.39
2020,전국,전국,여,65~69세,1363812.5,13092.6,0.96,2278.11,5420.34,3364.8,2029.35,13092.6,0.96,0,0,0,0,351776.34,25.79
2020,전국,전국,여,70~74세,1066429,33699.16,3.16,5863.65,13951.45,8660.68,5223.37,32526.08,3.05,0,0,1279.71,0.12,197474.92,18.52
2020,전국,전국,여,75~79세,920548,126667.4,13.76,22040.13,52440.3,32553.52,19633.45,58823.02,6.39,7640.55,0.83,60111.78,6.53,192006.98,20.86
2020,전국,전국,여,80~84세,697532,162245.94,23.26,28230.79,67169.82,41697.21,25148.12,146830.49,21.05,2441.36,0.35,12904.34,1.85,321270.68,46.06
